longitude,latitude,predicted_value
-105.5,26.5,82.52198
-105.5,27.5,70.16778
-105.5,28.0,69.31461
-105.5,28.5,96.25473
-105.5,29.0,73.22087
-105.5,29.5,82.34088
-105.5,30.0,94.05047
-105.5,30.5,86.832245
-105.0,19.5,95.47123
-105.0,20.0,108.68007
-105.0,20.5,148.8513
-105.0,21.0,88.52033
-105.0,21.5,82.15704
-105.0,22.0,74.02769
-105.0,22.5,60.171818
-105.0,23.0,59.50683
-105.0,23.5,92.087265
-105.0,24.0,88.324135
-105.0,24.5,89.596405
-105.0,25.0,100.28636
-105.0,25.5,148.55858
-105.0,26.0,118.88417
-105.0,26.5,68.960846
-105.0,27.0,87.02767
-105.0,27.5,69.32476
-105.0,28.0,72.57859
-105.0,28.5,101.94702
-105.0,29.0,37.930363
-105.0,29.5,96.33281
-105.0,30.0,99.65218
-105.0,30.5,84.53577
-104.5,19.5,93.252945
-104.5,20.0,99.147446
-104.5,20.5,84.775566
-104.5,21.0,82.309715
-104.5,21.5,136.09967
-104.5,22.0,55.640102
-104.5,22.5,60.627647
-104.5,23.0,97.187485
-104.5,23.5,98.036095
-104.5,24.0,137.09451
-104.5,24.5,99.61535
-104.5,25.0,90.5394
-104.5,25.5,110.596825
-104.5,26.0,100.50735
-104.5,26.5,89.93373
-104.5,27.0,84.59771
-104.5,27.5,66.83322
-104.5,28.0,68.160614
-104.5,28.5,69.926865
-104.5,29.0,61.35812
-104.5,29.5,65.612946
-104.0,19.0,38.38742
-104.0,19.5,109.782646
-104.0,20.0,96.479256
-104.0,20.5,94.49108
-104.0,21.0,94.17088
-104.0,21.5,55.08351
-104.0,22.0,56.70365
-104.0,22.5,60.415565
-104.0,23.0,112.770744
-104.0,23.5,114.37701
-104.0,24.0,87.48586
-104.0,24.5,98.55079
-104.0,25.5,108.12678
-104.0,26.0,112.5579
-104.0,26.5,82.53774
-104.0,27.0,81.65691
-104.0,28.0,64.84191
-104.0,28.5,67.14889
-104.0,29.0,75.59425
-103.5,18.5,83.53632
-103.5,19.0,76.14632
-103.5,19.5,77.343185
-103.5,20.0,78.36772
-103.5,20.5,87.01325
-103.5,21.5,79.633644
-103.5,22.0,72.308395
-103.5,22.5,72.02177
-103.5,23.0,78.95906
-103.5,23.5,68.59689
-103.5,24.5,45.96183
-103.5,25.0,77.4244
-103.5,25.5,91.07618
-103.5,26.0,69.7125
-103.5,27.0,65.92389
-103.5,27.5,67.709366
-103.5,28.0,68.52184
-103.5,28.5,69.18705
-103.0,18.5,37.278492
-103.0,19.0,28.6886
-103.0,19.5,76.258125
-103.0,20.5,79.22444
-103.0,21.0,78.44581
-103.0,21.5,71.209625
-103.0,22.0,74.03806
-103.0,22.5,73.44881
-103.0,23.0,72.11281
-103.0,23.5,78.48935
-103.0,24.0,71.896576
-103.0,24.5,66.62705
-103.0,25.0,79.14634
-103.0,25.5,71.86914
-103.0,26.0,74.11462
-103.0,26.5,73.421196
-103.0,27.0,69.569824
-103.0,27.5,69.73328
-103.0,28.0,53.18418
-103.0,28.5,66.487946
-103.0,29.0,69.81159
-102.5,18.5,78.732475
-102.5,19.0,68.04157
-102.5,19.5,94.26131
-102.5,20.0,90.2975
-102.5,20.5,72.514404
-102.5,21.0,76.821075
-102.5,21.5,70.21057
-102.5,22.0,75.05107
-102.5,22.5,81.256744
